Iteration [0], Loss: 0.054868049919605255
Iteration [1], Loss: 0.06145923212170601
Iteration [2], Loss: 0.08021222054958344
Iteration [3], Loss: 0.06847131997346878
Iteration [4], Loss: 0.06972909718751907
Iteration [5], Loss: 0.06066494435071945
Iteration [6], Loss: 0.06434345990419388
Iteration [7], Loss: 0.07924152165651321
Iteration [8], Loss: 0.06279156357049942
Iteration [9], Loss: 0.061115484684705734
Iteration [10], Loss: 0.04882129654288292
Iteration [11], Loss: 0.056839875876903534
Iteration [12], Loss: 0.07164233922958374
Iteration [13], Loss: 0.07183881849050522
Iteration [14], Loss: 0.0650976300239563
Iteration [15], Loss: 0.06500839442014694
Iteration [16], Loss: 0.06059359759092331
Iteration [17], Loss: 0.05857323482632637
Iteration [18], Loss: 0.07268324494361877
Iteration [19], Loss: 0.06934820860624313
Iteration [20], Loss: 0.07166346162557602
Iteration [21], Loss: 0.0790582150220871
Iteration [22], Loss: 0.057543303817510605
Iteration [23], Loss: 0.061856258660554886
Iteration [24], Loss: 0.061698347330093384
Iteration [25], Loss: 0.06590476632118225
Iteration [26], Loss: 0.05749542638659477
Iteration [27], Loss: 0.056391265243291855
Iteration [28], Loss: 0.05876408517360687
Iteration [29], Loss: 0.05238353833556175
Iteration [30], Loss: 0.07184373587369919
Iteration [31], Loss: 0.04782916605472565
Iteration [32], Loss: 0.05387517437338829
Iteration [33], Loss: 0.05226796120405197
Iteration [34], Loss: 0.06594192981719971
Iteration [35], Loss: 0.049849532544612885
Iteration [36], Loss: 0.06211497634649277
Iteration [37], Loss: 0.06062640622258186
Iteration [38], Loss: 0.05020083859562874
Iteration [39], Loss: 0.05248771235346794
Iteration [40], Loss: 0.056784454733133316
Iteration [41], Loss: 0.06700531393289566
Iteration [42], Loss: 0.05403585731983185
Iteration [43], Loss: 0.05643066391348839
Iteration [44], Loss: 0.06421727687120438
Iteration [45], Loss: 0.050451431423425674
Iteration [46], Loss: 0.05773932486772537
Iteration [47], Loss: 0.048260342329740524
Iteration [48], Loss: 0.05286215618252754
Iteration [49], Loss: 0.04725192114710808
Iteration [50], Loss: 0.04592810943722725
Iteration [51], Loss: 0.04692625254392624
Iteration [52], Loss: 0.047266822308301926
Iteration [53], Loss: 0.05295592546463013
Iteration [54], Loss: 0.05957465618848801
Iteration [55], Loss: 0.05207985267043114
Iteration [56], Loss: 0.055078085511922836
Iteration [57], Loss: 0.03814501315355301
Iteration [58], Loss: 0.044801488518714905
Iteration [59], Loss: 0.04456975683569908
Iteration [60], Loss: 0.048719026148319244
Iteration [61], Loss: 0.04250084608793259
Iteration [62], Loss: 0.04107867553830147
Iteration [63], Loss: 0.04130711778998375
Iteration [64], Loss: 0.04109472781419754
Iteration [65], Loss: 0.03784390538930893
Iteration [66], Loss: 0.039393723011016846
Iteration [67], Loss: 0.04125456511974335
Iteration [68], Loss: 0.03657262399792671
Iteration [69], Loss: 0.03243478387594223
Iteration [70], Loss: 0.02711159735918045
Iteration [71], Loss: 0.02968885935842991
Iteration [72], Loss: 0.03253835067152977
Iteration [73], Loss: 0.028749138116836548
Iteration [74], Loss: 0.03322010487318039
Iteration [75], Loss: 0.02695714496076107
Iteration [76], Loss: 0.03963516652584076
Iteration [77], Loss: 0.03493132442235947
Iteration [78], Loss: 0.03158565238118172
Iteration [79], Loss: 0.03228112310171127
Iteration [80], Loss: 0.03073018789291382
Iteration [81], Loss: 0.029956120997667313
Iteration [82], Loss: 0.04110089689493179
Iteration [83], Loss: 0.02537684515118599
Iteration [84], Loss: 0.030307762324810028
Iteration [85], Loss: 0.025921300053596497
Iteration [86], Loss: 0.029511140659451485
Iteration [87], Loss: 0.025458917021751404
Iteration [88], Loss: 0.029293082654476166
Iteration [89], Loss: 0.02713431790471077
Iteration [90], Loss: 0.02719935216009617
Iteration [91], Loss: 0.03156730532646179
Iteration [92], Loss: 0.02439650520682335
Iteration [93], Loss: 0.02808712236583233
Iteration [94], Loss: 0.022313222289085388
Iteration [95], Loss: 0.02190987579524517
Iteration [96], Loss: 0.025574572384357452
Iteration [97], Loss: 0.030922304838895798
Iteration [98], Loss: 0.03329428657889366
Iteration [99], Loss: 0.026073522865772247
Iteration [100/1000], PSNR: 15.84
Iteration [100], Loss: 0.026983337476849556
Iteration [101], Loss: 0.030372025445103645
Iteration [102], Loss: 0.02275545336306095
Iteration [103], Loss: 0.030924243852496147
Iteration [104], Loss: 0.028088919818401337
Iteration [105], Loss: 0.024727577343583107
Iteration [106], Loss: 0.022890636697411537
Iteration [107], Loss: 0.024921562522649765
Iteration [108], Loss: 0.02295183576643467
Iteration [109], Loss: 0.02623055875301361
Iteration [110], Loss: 0.026484858244657516
Iteration [111], Loss: 0.02503702975809574
Iteration [112], Loss: 0.024829121306538582
Iteration [113], Loss: 0.022601082921028137
Iteration [114], Loss: 0.022936511784791946
