689 1024 (689, 1024)
Iteration [0], Loss: 0.10014479607343674
Iteration [0], Loss: 0.22034505009651184
Iteration [0], Loss: 0.21962426602840424
Iteration [0], Loss: 0.21697349846363068
Iteration [0], Loss: 0.219434916973114
Iteration [0], Loss: 0.21996024250984192
Iteration [0], Loss: 0.2231726050376892
Iteration [0], Loss: 0.22270193696022034
Iteration [0], Loss: 0.21487510204315186
Iteration [0], Loss: 0.21888451278209686
Iteration [0], Loss: 0.21515384316444397
Iteration [0], Loss: 0.22044794261455536
Iteration [0], Loss: 0.2155454158782959
Iteration [0], Loss: 0.2222914695739746
Iteration [0], Loss: 0.22160592675209045
Iteration [0], Loss: 0.21563172340393066
Iteration [0], Loss: 0.22199149429798126
Iteration [0], Loss: 0.21571730077266693
Iteration [0], Loss: 0.21842877566814423
Iteration [0], Loss: 0.2257266491651535
Iteration [0], Loss: 0.2195860594511032
Iteration [0], Loss: 0.21846945583820343
Iteration [0], Loss: 0.22032636404037476
Iteration [0], Loss: 0.2140233814716339
Iteration [0], Loss: 0.2157304733991623
Iteration [0], Loss: 0.21588166058063507
Iteration [0], Loss: 0.22103595733642578
Iteration [0], Loss: 0.2203494757413864
Iteration [0], Loss: 0.22444382309913635
Iteration [0], Loss: 0.22200947999954224
Iteration [0], Loss: 0.22363758087158203
Iteration [0], Loss: 0.21824370324611664
Iteration [0], Loss: 0.22418241202831268
Iteration [0], Loss: 0.21887513995170593
Iteration [0], Loss: 0.22036559879779816
Iteration [0], Loss: 0.21706634759902954
Iteration [0], Loss: 0.21626555919647217
Iteration [0], Loss: 0.21956150233745575
Iteration [0], Loss: 0.2194473296403885
Iteration [0], Loss: 0.21975117921829224
Iteration [0], Loss: 0.2193116396665573
Iteration [0], Loss: 0.21904945373535156
Iteration [0], Loss: 0.22344745695590973
Iteration [0], Loss: 0.21597282588481903
Iteration [0], Loss: 0.21699734032154083
Iteration [0], Loss: 0.22285078465938568
Iteration [0], Loss: 0.21899400651454926
Iteration [0], Loss: 0.2222757488489151
Iteration [0], Loss: 0.22110120952129364
Iteration [0], Loss: 0.21712607145309448
Iteration [0], Loss: 0.21990682184696198
Iteration [0], Loss: 0.2152085155248642
Iteration [0], Loss: 0.21648851037025452
Iteration [0], Loss: 0.2168641984462738
Iteration [0], Loss: 0.21897992491722107
Iteration [0], Loss: 0.21868786215782166
Iteration [0], Loss: 0.2205127626657486
Iteration [0], Loss: 0.22122465074062347
Iteration [0], Loss: 0.21995295584201813
Iteration [0], Loss: 0.21695439517498016
Iteration [0], Loss: 0.21793150901794434
Iteration [0], Loss: 0.21788866817951202
Iteration [0], Loss: 0.2178041785955429
Iteration [0], Loss: 0.2206520438194275
Iteration [0], Loss: 0.22025765478610992
Iteration [0], Loss: 0.21420849859714508
Iteration [0], Loss: 0.22110968828201294
Iteration [0], Loss: 0.21782083809375763
Iteration [0], Loss: 0.22294633090496063
Iteration [0], Loss: 0.2205803394317627
Iteration [0], Loss: 0.2166501134634018
Iteration [0], Loss: 0.2227625846862793
Iteration [0], Loss: 0.21604010462760925
Iteration [0], Loss: 0.21460872888565063
Iteration [0], Loss: 0.21908873319625854
Iteration [0], Loss: 0.2178182154893875
Iteration [0], Loss: 0.2223377823829651
Iteration [0], Loss: 0.2221270203590393
Iteration [0], Loss: 0.2191980481147766
Iteration [0], Loss: 0.21665114164352417
Iteration [0], Loss: 0.22056813538074493
Iteration [0], Loss: 0.21756812930107117
Iteration [0], Loss: 0.2227616310119629
Iteration [0], Loss: 0.22196735441684723
Iteration [0], Loss: 0.22182615101337433
Iteration [0], Loss: 0.2147781252861023
Iteration [0], Loss: 0.2200476974248886
Iteration [0], Loss: 0.21769174933433533
Iteration [0], Loss: 0.21369971334934235
Iteration [0], Loss: 0.21607211232185364
Iteration [0], Loss: 0.21792522072792053
Iteration [0], Loss: 0.21602974832057953
Iteration [0], Loss: 0.22092768549919128
Iteration [0], Loss: 0.21752455830574036
Iteration [0], Loss: 0.2208886742591858
Iteration [0], Loss: 0.21835032105445862
Iteration [0], Loss: 0.21449773013591766
Iteration [0], Loss: 0.21873854100704193
Iteration [0], Loss: 0.21424999833106995
Iteration [0], Loss: 0.2183186262845993
Iteration [0], Loss: 0.21959547698497772
Iteration [0], Loss: 0.21811947226524353
Iteration [0], Loss: 0.21669572591781616
Iteration [0], Loss: 0.22131341695785522
Iteration [0], Loss: 0.21771340072155
Iteration [0], Loss: 0.21922850608825684
Iteration [0], Loss: 0.22161169350147247
Iteration [0], Loss: 0.2207697033882141
Iteration [0], Loss: 0.21819128096103668
Iteration [0], Loss: 0.21913614869117737
Iteration [0], Loss: 0.2210080325603485
Iteration [0], Loss: 0.2233467847108841
Iteration [0], Loss: 0.21639300882816315
Iteration [0], Loss: 0.2198859453201294
Iteration [0], Loss: 0.2208729237318039
Iteration [0], Loss: 0.2177739441394806
Iteration [0], Loss: 0.2202511727809906
Iteration [0], Loss: 0.2200811207294464
Iteration [0], Loss: 0.21722275018692017
Iteration [0], Loss: 0.22223877906799316
Iteration [0], Loss: 0.22011898458003998
Iteration [0], Loss: 0.2171243280172348
Iteration [0], Loss: 0.22242389619350433
Iteration [0], Loss: 0.21969394385814667
Iteration [0], Loss: 0.21818843483924866
Iteration [0], Loss: 0.21853654086589813
Iteration [0], Loss: 0.21667106449604034
Iteration [0], Loss: 0.21985502541065216
Iteration [0], Loss: 0.22378107905387878
Iteration [0], Loss: 0.2187470942735672
Iteration [0], Loss: 0.2172681987285614
Iteration [0], Loss: 0.21858352422714233
Iteration [0], Loss: 0.2233963906764984
Iteration [0], Loss: 0.22568275034427643
Iteration [0], Loss: 0.2179984301328659
Iteration [0], Loss: 0.21794845163822174
Iteration [0], Loss: 0.22107413411140442
Iteration [0], Loss: 0.22331929206848145
Iteration [0], Loss: 0.21919886767864227
Iteration [0], Loss: 0.21759720146656036
Iteration [0], Loss: 0.21366184949874878
Iteration [0], Loss: 0.21886181831359863
Iteration [0], Loss: 0.21556413173675537
Iteration [0], Loss: 0.2187207043170929
Iteration [0], Loss: 0.22374257445335388
Iteration [0], Loss: 0.22238731384277344
Iteration [0], Loss: 0.224399134516716
Iteration [0], Loss: 0.21946562826633453
Iteration [0], Loss: 0.22031278908252716
Iteration [0], Loss: 0.2196498066186905
Iteration [0], Loss: 0.22029414772987366
Iteration [0], Loss: 0.2186710089445114
Iteration [0], Loss: 0.22039386630058289
Iteration [0], Loss: 0.21564945578575134
Iteration [0], Loss: 0.21697421371936798
Iteration [0], Loss: 0.21908533573150635
Iteration [0], Loss: 0.21882548928260803
Iteration [0], Loss: 0.2224128246307373
Iteration [0], Loss: 0.22101514041423798
Iteration [0], Loss: 0.21844062209129333
Iteration [0], Loss: 0.21841412782669067
Iteration [0], Loss: 0.21652451157569885
Iteration [0], Loss: 0.2159639149904251
Iteration [0], Loss: 0.2234055995941162
Iteration [0], Loss: 0.22481198608875275
Iteration [0], Loss: 0.21638339757919312
Iteration [0], Loss: 0.21763765811920166
Iteration [0], Loss: 0.22204671800136566
Iteration [0], Loss: 0.21721382439136505
Iteration [0], Loss: 0.21959558129310608
Iteration [0], Loss: 0.22134427726268768
Iteration [0], Loss: 0.22042152285575867
Iteration [0], Loss: 0.22130413353443146
Iteration [0], Loss: 0.22054791450500488
Iteration [0], Loss: 0.22448386251926422
Iteration [0], Loss: 0.22072146832942963
Iteration [0], Loss: 0.21347574889659882
Iteration [0], Loss: 0.22291354835033417
Iteration [0], Loss: 0.21874529123306274
Iteration [0], Loss: 0.22133587300777435
Iteration [0], Loss: 0.22220097482204437
Iteration [0], Loss: 0.22402286529541016
Iteration [0], Loss: 0.22100374102592468
Iteration [0], Loss: 0.21622121334075928
Iteration [0], Loss: 0.2233038693666458
Iteration [0], Loss: 0.21330420672893524
Iteration [0], Loss: 0.21640072762966156
Iteration [0], Loss: 0.21791401505470276
Iteration [0], Loss: 0.22128333151340485
Iteration [0], Loss: 0.2200355976819992
Iteration [0], Loss: 0.22388355433940887
Iteration [0], Loss: 0.22265218198299408
Iteration [0], Loss: 0.2201765924692154
